FULL NAME,TEAM,POS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,START_POSITION_1,START_POSITION_2,START_POSITION_3,START_POSITION_4,PTS/SEC
Bogdan Bogdanovic,Atlanta Hawks,G,0.513,0.417,0.906,3.7,3,0.88,0.28,0,0,1,0,0.008602151
Clint Capela,Atlanta Hawks,C,0.602,0,0.589,14.5,0.8,0.72,2.22,1,0,0,0,0.008552632
John Collins,Atlanta Hawks,F,0.604,0.377,0.84,7.6,1.4,0.52,1.02,0,1,0,0,0.009966777
Bruno Fernando,Atlanta Hawks,F,0.462,0,0.667,2.5,0.3,0.08,0.12,0,1,0,0,0.003431373
Danilo Gallinari,Atlanta Hawks,F,0.448,0.407,0.933,4.1,1.4,0.56,0.18,0,1,0,0,0.009305556
Brandon Goodwin,Atlanta Hawks,G,0.414,0.346,0.625,1.3,1.8,0.37,0,0,0,1,0,0.006284153
Solomon Hill,Atlanta Hawks,F,0.469,0.335,0.767,2.7,0.9,0.71,0.18,0,1,0,0,0.003802589
Kevin Huerter,Atlanta Hawks,G,0.5,0.372,0.818,3.4,3.5,1.16,0.25,0,0,1,0,0.006430868
De'Andre Hunter,Atlanta Hawks,F,0.596,0.356,0.867,5.1,2.1,0.9,0.5,0,1,0,0,0.008547009
Nathan Knight,Atlanta Hawks,F,0.44,0.208,0.805,2,0.2,0.32,0.28,0,1,0,0,0.00734127
Skylar Mays,Atlanta Hawks,G,0.439,0.345,0.857,1,0.8,0.42,0,0,0,1,0,0.007017544
Onyeka Okongwu,Atlanta Hawks,F,0.633,0,0.605,2.9,0.2,0.4,0.63,0,1,0,0,0.00623053
Cam Reddish,Atlanta Hawks,F,0.46,0.262,0.817,4,1.3,1.27,0.35,0,1,0,0,0.006459054
Rajon Rondo,Atlanta Hawks,G,0.415,0.378,0.5,2,3.5,0.7,0.07,0,0,1,0,0.004362416
Tony Snell,Atlanta Hawks,G,0.408,0.571,1,2.4,1.3,0.23,0.25,0,0,1,0,0.004365079
Lou Williams,Atlanta Hawks,G,0.395,0.458,0.875,1.4,3.3,0.5,0.1,0,0,1,0,0.007838983
Trae Young,Atlanta Hawks,G,0.472,0.357,0.871,3.9,9.5,0.83,0.19,0,0,1,0,0.012306202
Jaylen Brown,Boston Celtics,G,0.546,0.401,0.754,5.8,3.4,1.21,0.56,0,0,1,0,0.01202346
Carsen Edwards,Boston Celtics,G,0.65,0.295,0.778,0.9,0.4,0.22,0.04,0,0,1,0,0.008143939
Tacko Fall,Boston Celtics,C,0.75,0,0.308,2.7,0.1,0.07,0.86,1,0,0,0,0.006712963
Evan Fournier,Boston Celtics,G,0.333,0.478,0.75,1.8,1.8,1.25,0.75,0,0,1,0,0.006678281
Javonte Green,Boston Celtics,G,0.653,0.318,0.667,2.1,0.4,0.72,0.08,0,0,1,0,0.005072464
Luke Kornet,Boston Celtics,F,0.538,0.333,0.5,3.1,1.1,0,1.38,0,1,0,0,0.005514706
Romeo Langford,Boston Celtics,G,0.267,0.429,1,2.1,0.6,0.25,0.13,0,0,1,0,0.003156566
Aaron Nesmith,Boston Celtics,G,0.481,0.324,0.688,2.1,0.3,0.29,0.19,0,0,1,0,0.004230769
Semi Ojeleye,Boston Celtics,F,0.442,0.38,0.75,2.7,0.7,0.26,0,0,1,0,0,0.004519774
Jabari Parker,Boston Celtics,F,1,0,0.5,4,0,0,0,0,1,0,0,0.011677282
